Model,RMSE,R²,Dir.Acc
Lasso,0.03293830467965894,0.7179313913520886,94.91525423728814
Ridge,0.03351005707362255,0.7080539481462282,94.91525423728814
Adaptive Noise,0.033587757494012264,0.7066984965449539,94.91525423728814
OLS,0.033597891956981214,0.7065214736123293,94.91525423728814
Stochastic Reg,0.03360572258322133,0.7063846561915879,94.91525423728814
Trimmed Reg,0.03374273103403936,0.7039856727218416,94.91525423728814
Weighted Stoch,0.03437305261840702,0.6928231538041514,91.52542372881356
DRO Reg,0.03482687204959965,0.6846584397350266,96.61016949152543
CVaR Reg,0.0350950544448214,0.6797832006104332,94.91525423728814
Random Walk,0.10339018494548737,-1.7791430123931606,49.152542372881356
